barangay,population,land_area_km2,latitude,longitude,jun_per_capita,jun_sw,jun_density,jun_is_hotspot,jul_per_capita,jul_sw,jul_density,jul_is_hotspot,aug_per_capita,aug_sw,aug_density,aug_is_hotspot,sep_per_capita,sep_sw,sep_density,sep_is_hotspot,oct_per_capita,oct_sw,oct_density,oct_is_hotspot,nov_per_capita,nov_sw,nov_density,nov_is_hotspot,dec_density
Barangay 13,960,0.1,8.48281,124.64221,0.42,400.08,3949.49,,0.42,406.8,4015.83,,0.43,417.36,4120.08,,0.42,407.39,4021.63,,0.42,407.6,4023.66,,0.43,415.2,4098.71,,
Barangay 14,360,0.05,8.48210,124.64467,0.47,168.69,3746.16,,0.44,159.69,3546.3,,0.46,166.89,3706.19,,0.46,164.69,3657.36,,0.46,165.1,3666.55,,0.47,167.68,3723.84,,
Barangay 15,1840,0.12,8.48493,124.64277,0.47,855.9,6902.42,,0.45,832.63,6714.76,,0.46,851.03,6863.15,,0.47,861.9,6950.83,,0.47,873.37,7043.27,,0.48,880.98,7104.69,,
Barangay 16,30,0.02,8.48364,124.64551,0.39,11.84,476.71,,0.41,12.25,493.5,,0.42,12.75,513.31,,0.38,11.46,461.54,,0.39,11.64,468.79,,0.4,11.92,480.21,,
Barangay 17,2045,0.1,8.48687,124.64324,0.44,897.74,9404.34,,0.42,850.7,8911.62,,0.44,891.6,9340.07,,0.43,878.29,9200.65,,0.42,866.01,9072.01,,0.47,951.95,9972.19,,
Barangay 18,1300,0.05,8.48597,124.64548,0.39,502.13,10597.91,,0.41,528.13,11146.66,,0.41,537.23,11338.72,,0.38,490.7,10356.74,,0.38,493.84,10422.92,,0.39,503.81,10633.41,,
Barangay 19,250,0.02,8.48470,124.64635,0.49,121.3,4861.9,,0.47,116.3,4661.5,,0.48,120.8,4841.86,,0.47,116.3,4661.5,,0.47,117.66,4716.01,,0.48,121.22,4858.51,,
Barangay 20,84,0.02,8.48585,124.64716,0.39,32.42,1446.11,,0.4,33.26,1483.58,,0.41,34.69,1547.27,,0.36,30.17,1345.59,,0.37,30.73,1370.82,,0.37,31.46,1403.36,,
Barangay 21,366,0.04,8.49148,124.65182,0.46,167.65,3963.41,,0.44,161.8,3824.97,,0.45,165.46,3911.49,,0.45,162.96,3852.46,,0.45,166.52,3936.75,,0.47,171.56,4055.89,,
Barangay 22,3260,0.18,8.48922,124.65365,0.44,1420.53,7967.1,,0.43,1387.93,7784.26,,0.44,1420.53,7967.1,,0.43,1391.55,7804.56,,0.43,1401.4,7859.8,,0.43,1409.81,7906.97,,
Barangay 23,948,0.08,8.48981,124.65074,0.37,353.29,4375.69,,0.39,372.25,4610.52,,0.4,381.73,4727.93,,0.37,355.1,4398.03,,0.38,364.94,4519.9,,0.39,371.78,4604.61,,
Barangay 24,624,0.17,8.48453,124.65306,0.49,302.95,1768.53,,0.47,294.84,1721.18,,0.45,281.73,1644.68,,0.46,284.91,1663.21,,0.47,290.71,1697.08,,0.48,296.5,1730.86,,
